Date,Time,HomeTeam,AwayTeam,FTR
16/08/2024,20:00,Man United,Fulham,H
17/08/2024,12:30,Ipswich,Liverpool,A
17/08/2024,15:00,Arsenal,Wolves,H
17/08/2024,15:00,Everton,Brighton,A
17/08/2024,15:00,Newcastle,Southampton,H
17/08/2024,15:00,Nott'm Forest,Bournemouth,D
17/08/2024,17:30,West Ham,Aston Villa,A
18/08/2024,14:00,Brentford,Crystal Palace,H
18/08/2024,16:30,Chelsea,Man City,A
19/08/2024,20:00,Leicester,Tottenham,D
24/08/2024,12:30,Brighton,Man United,H
24/08/2024,15:00,Crystal Palace,West Ham,A
24/08/2024,15:00,Fulham,Leicester,H
24/08/2024,15:00,Man City,Ipswich,H
24/08/2024,15:00,Southampton,Nott'm Forest,A
24/08/2024,15:00,Tottenham,Everton,H
24/08/2024,17:30,Aston Villa,Arsenal,A
25/08/2024,14:00,Bournemouth,Newcastle,D
25/08/2024,14:00,Wolves,Chelsea,A
25/08/2024,16:30,Liverpool,Brentford,H
31/08/2024,12:30,Arsenal,Brighton,D
31/08/2024,15:00,Brentford,Southampton,H
31/08/2024,15:00,Everton,Bournemouth,A
31/08/2024,15:00,Ipswich,Fulham,D
31/08/2024,15:00,Leicester,Aston Villa,A
31/08/2024,15:00,Nott'm Forest,Wolves,D
31/08/2024,17:30,West Ham,Man City,A
01/09/2024,13:30,Chelsea,Crystal Palace,D
01/09/2024,13:30,Newcastle,Tottenham,H
01/09/2024,16:00,Man United,Liverpool,A
14/09/2024,12:30,Southampton,Man United,A
14/09/2024,15:00,Brighton,Ipswich,D
14/09/2024,15:00,Crystal Palace,Leicester,D
14/09/2024,15:00,Fulham,West Ham,D
14/09/2024,15:00,Liverpool,Nott'm Forest,A
14/09/2024,15:00,Man City,Brentford,H
14/09/2024,17:30,Aston Villa,Everton,H
14/09/2024,20:00,Bournemouth,Chelsea,A
15/09/2024,14:00,Tottenham,Arsenal,A
15/09/2024,16:30,Wolves,Newcastle,A
21/09/2024,12:30,West Ham,Chelsea,A
21/09/2024,15:00,Aston Villa,Wolves,H
21/09/2024,15:00,Fulham,Newcastle,H
21/09/2024,15:00,Leicester,Everton,D
21/09/2024,15:00,Liverpool,Bournemouth,H
21/09/2024,15:00,Southampton,Ipswich,D
21/09/2024,15:00,Tottenham,Brentford,H
21/09/2024,17:30,Crystal Palace,Man United,D
22/09/2024,14:00,Brighton,Nott'm Forest,D
22/09/2024,16:30,Man City,Arsenal,D
28/09/2024,12:30,Newcastle,Man City,D
28/09/2024,15:00,Arsenal,Leicester,H
28/09/2024,15:00,Brentford,West Ham,D
28/09/2024,15:00,Chelsea,Brighton,H
28/09/2024,15:00,Everton,Crystal Palace,H
28/09/2024,15:00,Nott'm Forest,Fulham,A
28/09/2024,17:30,Wolves,Liverpool,A
29/09/2024,14:00,Ipswich,Aston Villa,D
29/09/2024,16:30,Man United,Tottenham,A
30/09/2024,20:00,Bournemouth,Southampton,H
05/10/2024,12:30,Crystal Palace,Liverpool,A
05/10/2024,15:00,Arsenal,Southampton,H
05/10/2024,15:00,Brentford,Wolves,H
05/10/2024,15:00,Leicester,Bournemouth,H
05/10/2024,15:00,Man City,Fulham,H
05/10/2024,15:00,West Ham,Ipswich,H
05/10/2024,17:30,Everton,Newcastle,D
06/10/2024,14:00,Aston Villa,Man United,D
06/10/2024,14:00,Chelsea,Nott'm Forest,D
06/10/2024,16:30,Brighton,Tottenham,H
19/10/2024,12:30,Tottenham,West Ham,H
19/10/2024,15:00,Fulham,Aston Villa,A
19/10/2024,15:00,Ipswich,Everton,A
19/10/2024,15:00,Man United,Brentford,H
19/10/2024,15:00,Newcastle,Brighton,A
19/10/2024,15:00,Southampton,Leicester,A
19/10/2024,17:30,Bournemouth,Arsenal,H
20/10/2024,14:00,Wolves,Man City,A
20/10/2024,16:30,Liverpool,Chelsea,H
21/10/2024,20:00,Nott'm Forest,Crystal Palace,H
25/10/2024,20:00,Leicester,Nott'm Forest,A
26/10/2024,15:00,Aston Villa,Bournemouth,D
26/10/2024,15:00,Brentford,Ipswich,H
26/10/2024,15:00,Brighton,Wolves,D
26/10/2024,15:00,Man City,Southampton,H
26/10/2024,17:30,Everton,Fulham,D
27/10/2024,14:00,Chelsea,Newcastle,H
27/10/2024,14:00,Crystal Palace,Tottenham,H
27/10/2024,14:00,West Ham,Man United,H
27/10/2024,16:30,Arsenal,Liverpool,D
02/11/2024,12:30,Newcastle,Arsenal,H
02/11/2024,15:00,Bournemouth,Man City,H
02/11/2024,15:00,Ipswich,Leicester,D
02/11/2024,15:00,Liverpool,Brighton,H
02/11/2024,15:00,Nott'm Forest,West Ham,H
02/11/2024,15:00,Southampton,Everton,H
02/11/2024,17:30,Wolves,Crystal Palace,D
03/11/2024,14:00,Tottenham,Aston Villa,H
03/11/2024,16:30,Man United,Chelsea,D
04/11/2024,20:00,Fulham,Brentford,H
09/11/2024,15:00,Brentford,Bournemouth,H
09/11/2024,15:00,Crystal Palace,Fulham,A
09/11/2024,15:00,West Ham,Everton,D
09/11/2024,15:00,Wolves,Southampton,H
09/11/2024,17:30,Brighton,Man City,H
09/11/2024,20:00,Liverpool,Aston Villa,H
10/11/2024,14:00,Man United,Leicester,H
10/11/2024,14:00,Nott'm Forest,Newcastle,A
10/11/2024,14:00,Tottenham,Ipswich,A
10/11/2024,16:30,Chelsea,Arsenal,D
23/11/2024,12:30,Leicester,Chelsea,A
23/11/2024,15:00,Arsenal,Nott'm Forest,H
23/11/2024,15:00,Aston Villa,Crystal Palace,D
23/11/2024,15:00,Bournemouth,Brighton,A
23/11/2024,15:00,Everton,Brentford,D
23/11/2024,15:00,Fulham,Wolves,A
23/11/2024,17:30,Man City,Tottenham,A
24/11/2024,14:00,Southampton,Liverpool,A
24/11/2024,16:30,Ipswich,Man United,D
25/11/2024,20:00,Newcastle,West Ham,A
29/11/2024,20:00,Brighton,Southampton,D
30/11/2024,15:00,Brentford,Leicester,H
30/11/2024,15:00,Crystal Palace,Newcastle,D
30/11/2024,15:00,Nott'm Forest,Ipswich,H
30/11/2024,15:00,Wolves,Bournemouth,A
30/11/2024,17:30,West Ham,Arsenal,A
01/12/2024,13:30,Chelsea,Aston Villa,H
01/12/2024,13:30,Man United,Everton,H
01/12/2024,13:30,Tottenham,Fulham,D
01/12/2024,16:00,Liverpool,Man City,H
03/12/2024,19:30,Ipswich,Crystal Palace,A
03/12/2024,20:15,Leicester,West Ham,H
04/12/2024,19:30,Everton,Wolves,H
04/12/2024,19:30,Man City,Nott'm Forest,H
04/12/2024,19:30,Newcastle,Liverpool,D
04/12/2024,19:30,Southampton,Chelsea,A
04/12/2024,20:15,Arsenal,Man United,H
04/12/2024,20:15,Aston Villa,Brentford,H
05/12/2024,19:30,Fulham,Brighton,H
05/12/2024,20:15,Bournemouth,Tottenham,H
07/12/2024,15:00,Aston Villa,Southampton,H
07/12/2024,15:00,Brentford,Newcastle,H
07/12/2024,15:00,Crystal Palace,Man City,D
07/12/2024,17:30,Man United,Nott'm Forest,A
08/12/2024,14:00,Fulham,Arsenal,D
08/12/2024,14:00,Ipswich,Bournemouth,A
08/12/2024,14:00,Leicester,Brighton,D
08/12/2024,16:30,Tottenham,Chelsea,A
